################ TRAINING REPORT #################
# Images path   | ./dataset/fabric/side64/training/
# Validation    | 0.30
# Images size   | (64,64)
# Architecure   | fabric
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 10000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
57.70,93.26,56.57,92.64,54.98,94.81,231.69,True
58.94,93.26,56.71,92.78,55.84,95.67,233.99,True
59.49,93.20,57.86,92.93,57.14,95.67,236.16,True
60.61,93.44,58.87,92.64,57.14,95.67,238.41,True
61.53,93.32,59.16,92.50,57.58,95.24,240.54,True
62.03,93.57,60.46,92.64,58.01,95.24,242.84,True
62.59,93.57,61.33,92.78,58.01,95.67,245.11,True
63.39,93.38,62.34,93.22,60.17,95.67,247.30,True
63.57,93.69,62.63,92.78,61.47,95.67,249.44,True
64.13,93.63,63.06,92.78,61.47,95.67,251.70,True
64.44,93.63,63.64,92.78,61.90,95.67,253.99,True
64.87,93.69,63.64,92.64,62.34,95.67,256.33,False
65.80,93.75,64.07,92.93,63.64,95.67,258.59,True
66.23,93.69,64.50,93.22,64.50,95.67,260.81,True
66.42,93.88,64.65,93.22,64.50,96.10,263.06,True
66.67,93.75,65.08,93.22,65.37,96.10,265.41,True
66.91,93.82,64.94,93.22,65.37,96.10,267.60,False
67.10,93.88,65.95,93.22,65.37,96.10,269.96,True
67.29,93.94,66.09,93.07,66.23,96.10,272.26,True
67.47,93.82,66.52,93.36,66.67,96.10,274.48,True
67.90,93.88,66.67,93.36,67.97,96.10,276.70,True
67.84,93.75,67.24,93.22,67.53,96.10,278.91,True
68.15,93.75,67.10,93.65,67.97,96.10,281.19,False
68.46,94.00,67.68,93.51,67.97,96.10,283.50,True
68.52,94.00,67.82,93.07,67.97,96.10,285.65,True
68.83,94.00,68.25,93.22,67.97,96.10,287.96,True
68.89,93.94,67.97,93.36,67.97,96.10,290.32,False
68.89,93.69,68.11,94.23,67.97,96.54,292.49,True
68.95,93.63,68.25,94.23,67.97,96.54,294.70,False
69.26,94.43,68.69,93.94,68.40,96.54,296.96,True
69.20,94.19,68.69,93.65,68.40,96.54,299.22,False
69.20,94.12,68.69,93.80,68.40,96.54,301.49,False
69.20,94.62,68.98,93.65,68.40,96.97,303.68,True
69.33,94.74,68.83,93.65,68.40,96.97,305.99,False
69.39,94.25,68.83,93.94,68.40,96.54,308.31,False
69.51,94.74,68.98,94.08,68.40,96.54,310.58,False
69.51,94.87,69.12,93.80,68.40,96.97,312.91,True
69.51,94.81,68.98,94.23,68.40,96.97,315.21,False
69.70,94.87,69.26,93.80,68.83,96.97,317.42,True
69.76,94.68,69.26,94.52,68.83,96.97,319.67,False
69.70,94.74,69.41,94.52,68.83,96.97,321.95,True
69.82,94.99,69.41,94.37,68.83,96.97,324.16,False
70.01,94.99,69.41,94.66,68.83,96.54,326.43,False
69.88,95.05,69.41,94.37,69.26,96.97,328.63,False
70.13,95.05,69.41,94.81,68.83,96.54,330.91,False
70.13,95.30,69.55,94.66,69.26,96.97,333.11,True
70.19,95.11,69.55,94.37,69.70,97.40,335.38,True
70.25,95.24,69.55,94.66,69.70,97.40,337.61,False
70.44,95.49,69.70,94.52,69.70,97.40,339.82,True
70.62,95.24,69.99,94.52,69.70,97.40,342.03,True
70.50,95.42,69.99,94.52,69.70,96.54,344.29,False
70.56,95.61,69.99,94.52,69.70,96.97,346.51,False
70.62,95.61,69.99,94.52,69.70,96.54,348.76,False
