Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.476
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.512
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.412
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.523
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.470
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.476
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.471
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.511
Total:   270 | Class: 7 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.459
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.480
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.481
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.488
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.406
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.478
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.451
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.426
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.467
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.461
Total:   270 | Class: 7 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.455
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.482
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.460
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.496
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.407
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.463
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.458
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.467
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.458
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.467
Total:   270 | Class: 7 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.463
