train,validation,test,min
0.00,0.00,0.00,0.00
22.92,26.25,22.32,0.00
50.13,44.79,46.43,0.00
86.28,75.68,76.79,6.25
97.24,87.26,83.04,18.75
99.43,94.98,86.61,37.50
99.52,95.37,89.29,43.75
99.91,97.68,91.96,50.00
99.87,97.68,91.96,50.00
100.00,99.23,94.64,68.75
100.00,98.46,91.96,50.00
100.00,98.84,93.75,68.75
100.00,99.23,93.75,62.50
100.00,99.61,95.54,75.00
100.00,99.23,95.54,68.75
100.00,99.61,95.54,81.25
100.00,99.61,94.64,75.00
100.00,99.23,95.54,75.00
100.00,99.23,94.64,68.75
100.00,99.23,91.96,50.00
