train,validation,time
0.00,0.00,0.00
0.00,0.00,4.43
8.72,8.13,7.97
25.08,22.94,11.60
44.94,40.89,14.93
60.52,51.11,18.21
76.77,62.52,21.58
85.71,73.00,24.94
91.96,79.95,28.19
95.78,85.85,31.53
97.53,89.91,34.85
98.93,90.17,37.94
99.55,91.61,41.44
99.94,93.97,45.03
99.78,93.45,48.28
100.00,94.76,51.82
100.00,95.15,55.28
100.00,97.90,58.57
100.00,97.90,58.57
