train,validation,time
0.00,0.00,0.00
15.02,13.63,5.89
35.83,35.78,10.80
50.17,44.69,15.68
61.81,54.26,20.53
69.24,60.29,25.40
71.15,65.01,30.13
71.43,69.07,35.00
75.48,71.17,40.02
74.92,73.66,44.90
74.75,72.74,49.71
77.00,74.57,54.53
78.23,76.93,59.33
82.90,80.08,64.18
82.68,79.55,68.90
85.83,83.49,73.52
89.54,86.11,78.34
86.56,83.62,83.16
93.31,89.52,87.99
94.77,92.01,93.08
95.39,93.05,97.88
96.91,92.53,102.83
97.75,92.92,108.21
98.03,94.36,113.19
98.71,95.28,118.11
98.82,95.67,123.07
99.16,94.36,127.78
99.38,96.99,132.43
99.72,97.90,137.24
99.72,97.25,142.63
99.72,97.25,147.46
99.89,98.30,152.14
99.89,98.30,152.14
