train,validation,time
0.00,0.00,0.00
0.00,0.00,5.87
9.51,7.08,10.88
13.84,13.89,16.17
13.78,13.24,21.31
16.31,15.33,26.33
26.15,25.29,31.30
27.05,26.08,36.05
34.25,34.47,41.00
35.83,32.63,45.66
39.88,37.48,50.43
46.96,42.33,55.64
49.49,46.66,60.45
51.80,49.02,65.42
53.88,50.33,70.27
55.68,52.03,75.20
58.83,53.47,80.06
61.53,55.05,85.00
64.85,56.62,90.01
61.08,54.91,94.93
66.31,57.40,99.91
66.25,59.50,105.00
70.08,61.73,109.90
74.13,65.01,114.68
74.24,64.09,119.56
75.53,65.40,124.30
74.86,63.83,128.94
74.80,63.96,133.53
77.56,66.58,138.13
77.95,67.89,142.68
80.15,68.94,147.43
80.60,70.77,152.04
79.87,71.82,156.66
81.83,71.17,161.41
85.32,71.69,166.48
83.97,72.08,171.34
86.22,72.21,176.05
84.98,72.35,180.79
88.98,72.08,185.63
89.43,72.74,190.21
85.71,73.13,195.14
89.20,74.18,200.08
92.58,74.44,205.08
92.01,74.31,210.10
92.29,74.18,214.91
91.84,75.23,219.86
93.87,76.02,224.86
94.60,75.10,229.68
94.32,76.80,234.45
95.56,76.28,239.31
94.21,76.41,244.22
94.94,76.80,249.21
94.94,75.88,253.99
96.12,77.20,258.87
96.91,77.59,263.90
96.91,77.59,268.78
96.57,76.54,273.62
96.23,77.33,278.41
97.75,77.06,283.23
97.92,78.37,288.22
97.98,76.67,292.99
97.53,77.98,298.17
97.81,77.98,303.05
97.98,77.20,307.77
98.43,77.06,312.71
98.76,78.24,317.48
98.76,78.24,322.51
98.54,79.03,327.50
98.71,77.98,332.62
98.48,79.29,337.34
98.71,77.59,342.27
99.38,78.64,347.23
99.27,79.03,352.23
98.93,80.08,357.10
99.04,78.51,361.97
98.54,78.77,366.90
99.78,79.95,371.60
99.66,79.03,376.75
99.94,78.90,381.63
98.76,78.77,386.73
99.66,78.24,391.62
99.94,77.46,396.56
99.83,78.90,401.46
98.43,77.72,406.50
99.94,79.03,411.29
99.94,79.03,411.29
