train,validation,time
0.00,0.00,0.00
1.07,1.31,6.05
10.40,10.35,10.92
13.33,13.50,15.86
14.17,14.15,20.80
16.03,15.60,25.90
19.97,18.48,30.86
21.99,19.66,35.78
28.01,25.43,40.75
29.81,27.26,45.95
35.66,32.24,50.99
40.27,35.12,56.05
48.65,41.55,61.20
52.36,44.30,66.25
58.72,49.93,71.52
63.55,54.65,76.67
63.61,55.05,81.60
71.26,57.93,86.76
71.99,60.42,91.82
74.13,62.65,96.76
74.07,62.65,101.66
75.98,65.14,106.81
79.08,69.20,111.81
82.28,68.28,116.65
79.36,71.30,121.67
83.24,71.56,126.51
87.96,69.46,131.62
87.74,71.17,136.68
90.16,73.13,141.91
90.04,73.26,147.11
93.70,74.44,152.09
93.14,75.62,156.99
92.63,75.10,161.93
95.56,75.88,166.92
96.06,77.85,172.15
96.57,76.67,177.27
96.96,77.33,182.37
96.79,77.20,187.45
97.75,77.20,192.39
98.59,78.64,197.54
98.88,78.64,202.62
99.10,79.69,207.81
99.38,80.21,212.88
98.82,80.08,218.12
99.61,79.42,223.14
99.78,80.08,228.04
99.44,80.60,232.88
99.83,80.73,237.57
99.55,81.39,242.51
99.72,81.52,247.48
99.94,80.60,252.32
99.94,81.13,257.12
99.16,82.04,262.10
99.78,81.13,267.13
99.94,82.04,272.07
99.94,82.18,276.78
99.94,81.26,281.56
99.94,81.52,286.38
99.94,81.91,291.32
99.89,82.57,296.17
100.00,81.91,301.28
100.00,82.31,306.16
100.00,82.57,311.13
100.00,81.00,316.04
100.00,82.31,321.09
100.00,81.78,325.98
100.00,81.91,330.67
100.00,83.09,335.58
100.00,82.04,340.65
100.00,82.44,345.63
100.00,82.44,350.50
100.00,81.91,355.71
100.00,81.65,360.76
100.00,83.62,365.69
100.00,81.91,370.35
100.00,82.44,375.32
100.00,82.31,380.37
100.00,81.91,385.50
100.00,84.40,390.54
100.00,82.44,395.55
100.00,82.57,400.47
100.00,82.04,405.29
100.00,83.49,410.17
100.00,82.57,415.03
100.00,82.04,420.18
100.00,84.14,425.12
100.00,83.22,429.94
100.00,82.83,434.92
100.00,81.39,439.85
100.00,83.22,445.12
100.00,83.22,445.12
