train,validation,time
0.00,0.00,0.00
14.29,10.74,7.22
64.59,16.77,13.71
92.33,33.92,20.06
99.26,45.45,26.53
99.78,52.62,32.99
100.00,52.89,39.52
100.00,53.09,46.09
100.00,62.53,52.40
100.00,58.76,58.91
100.00,58.13,65.46
100.00,59.54,71.81
100.00,59.11,78.41
100.00,62.93,85.00
100.00,66.51,91.41
100.00,65.84,97.72
100.00,63.48,104.00
100.00,65.21,110.61
100.00,66.16,117.27
100.00,66.90,123.98
100.00,67.65,130.66
100.00,64.38,137.07
100.00,65.09,143.41
100.00,66.63,149.90
100.00,69.22,156.46
100.00,66.82,163.05
100.00,67.81,169.46
100.00,67.81,175.97
100.00,68.75,182.62
100.00,67.22,189.06
100.00,66.59,195.74
100.00,68.28,202.33
100.00,67.34,208.88
100.00,67.41,215.26
100.00,67.30,221.67
100.00,67.53,228.23
100.00,67.53,228.23
