train,validation,time
0.00,0.00,0.00
18.76,17.24,7.36
57.19,53.64,14.05
96.32,81.35,20.69
99.21,84.57,27.07
99.82,85.12,33.65
100.00,85.56,40.56
100.00,85.79,47.19
100.00,85.75,53.63
100.00,85.71,60.31
100.00,85.64,66.99
100.00,85.83,73.77
100.00,85.83,80.09
100.00,86.23,86.65
100.00,86.23,93.14
100.00,86.19,99.52
100.00,86.27,105.81
100.00,86.23,112.66
100.00,86.46,119.07
100.00,86.27,125.58
100.00,86.07,131.93
100.00,86.27,138.33
100.00,86.27,144.65
100.00,86.27,151.03
100.00,86.42,157.55
100.00,86.27,164.18
100.00,86.15,170.62
100.00,86.19,177.11
100.00,86.38,183.62
100.00,86.34,190.18
100.00,86.34,190.18
