train,validation,time
0.00,0.00,0.00
16.65,0.00,7.53
41.02,11.29,13.80
59.03,24.28,20.09
70.90,29.95,26.48
81.55,34.95,33.02
89.83,35.93,39.66
94.52,37.27,46.07
95.66,39.79,52.78
97.98,42.31,59.48
98.95,44.31,65.90
99.04,45.89,72.43
99.91,43.57,79.06
100.00,50.53,85.51
99.87,51.59,92.02
99.91,48.68,98.88
100.00,50.49,105.41
100.00,51.44,112.10
100.00,54.11,118.48
100.00,52.38,125.15
100.00,54.19,131.77
100.00,54.27,138.25
100.00,52.97,144.71
100.00,52.74,151.05
100.00,53.33,157.64
100.00,54.58,164.19
100.00,55.41,170.46
100.00,56.67,177.31
100.00,53.40,183.97
100.00,56.43,190.46
100.00,55.96,196.86
100.00,56.43,203.56
100.00,56.71,210.34
100.00,55.80,216.74
100.00,56.36,223.20
100.00,56.16,229.77
100.00,56.40,236.34
100.00,55.37,242.97
100.00,53.76,249.63
100.00,57.06,256.38
100.00,56.51,263.00
100.00,55.45,269.41
100.00,57.06,276.27
100.00,56.91,282.89
100.00,56.40,289.38
100.00,57.02,295.95
100.00,56.95,302.54
100.00,57.06,309.45
100.00,57.06,316.19
100.00,57.10,322.90
100.00,57.02,329.38
100.00,57.14,336.38
100.00,57.10,343.22
100.00,57.14,349.68
100.00,57.10,356.34
100.00,57.10,362.84
100.00,57.10,369.27
100.00,57.02,375.90
100.00,57.14,382.41
100.00,57.14,389.04
100.00,57.10,395.84
100.00,57.10,402.60
100.00,57.10,409.22
100.00,57.10,409.22
