train,validation,time
0.00,0.00,0.00
94.41,92.94,6.99
99.27,96.21,12.30
99.55,97.52,17.63
100.00,98.30,22.83
99.60,97.12,28.73
100.00,98.43,35.06
99.55,97.25,41.02
99.77,97.39,47.12
99.72,97.78,53.10
100.00,98.17,58.70
99.83,98.04,64.17
100.00,98.17,70.27
100.00,98.43,76.13
100.00,98.17,81.85
100.00,98.95,87.42
100.00,98.56,92.66
99.94,97.65,98.00
100.00,98.82,103.20
99.72,97.78,108.41
100.00,98.43,113.65
99.89,98.43,118.94
100.00,98.69,124.15
98.93,96.86,129.53
100.00,98.82,134.78
99.72,97.91,140.18
100.00,98.82,145.59
100.00,98.82,145.59
