train,validation,time
0.00,0.00,0.00
89.73,85.07,4.55
98.63,95.09,6.82
99.49,97.25,9.19
99.32,97.45,11.37
99.49,98.04,13.63
99.49,97.45,16.11
99.57,98.43,18.27
99.14,96.46,20.60
99.57,98.62,23.03
99.57,98.23,25.29
99.66,98.82,27.63
99.49,98.82,29.68
99.57,98.62,31.85
99.49,98.82,34.05
99.49,98.82,36.51
99.57,98.04,38.95
99.57,97.64,41.33
99.49,98.62,43.46
99.49,98.43,45.64
99.49,98.82,47.71
99.49,98.62,49.79
99.57,98.82,51.94
99.49,98.82,54.21
99.49,97.45,56.36
99.49,98.82,58.63
99.57,97.45,60.81
99.57,98.82,62.96
99.49,98.23,65.15
99.49,98.23,67.45
99.49,98.82,69.78
99.57,98.04,71.97
99.49,97.25,74.22
99.49,97.25,74.22
