train,validation,time
0.00,0.00,0.00
80.79,72.55,0.62
93.57,85.82,0.52
98.65,88.91,0.53
99.60,92.36,0.51
99.76,92.91,0.52
100.00,92.73,0.51
100.00,93.09,0.51
100.00,93.09,0.52
100.00,93.27,0.50
100.00,94.18,0.51
100.00,94.18,0.49
100.00,94.00,0.49
100.00,94.18,0.48
100.00,94.36,0.49
100.00,94.36,0.51
100.00,94.36,0.50
100.00,94.55,0.49
100.00,94.36,0.50
100.00,94.55,0.50
100.00,94.36,0.49
