train,validation,time
0.00,0.00,0.00
80.58,69.53,4.94
95.37,82.46,8.03
98.52,88.19,11.21
99.14,88.25,14.36
99.27,89.12,17.58
99.90,89.71,20.69
99.90,90.29,23.80
99.92,90.64,27.01
99.97,91.35,30.23
99.90,90.99,33.35
99.82,91.40,36.51
100.00,91.75,39.75
99.97,91.70,42.88
100.00,91.58,46.02
100.00,91.93,49.21
100.00,92.51,52.47
100.00,91.93,55.59
100.00,91.99,58.70
100.00,92.46,61.85
99.97,92.16,65.02
100.00,91.35,68.18
100.00,90.94,71.38
99.97,92.46,74.51
100.00,92.11,77.72
100.00,92.69,80.88
99.95,92.11,84.13
100.00,92.87,87.32
100.00,91.87,90.52
99.97,91.75,93.73
99.97,92.81,96.87
100.00,91.70,99.99
99.95,92.69,103.15
99.97,92.34,106.45
99.95,92.46,109.61
100.00,92.34,112.81
100.00,92.22,115.93
99.97,92.69,119.06
100.00,92.69,122.23
100.00,92.69,122.23
