train,validation,time
0.00,0.00,0.00
94.89,81.66,6.13
99.29,83.39,10.49
99.88,84.03,14.75
100.00,84.40,19.08
100.00,85.04,23.26
99.84,84.95,27.52
100.00,84.85,31.82
99.96,85.68,36.06
100.00,87.04,40.41
100.00,85.31,44.72
99.84,85.04,49.10
99.92,84.58,53.38
100.00,87.23,57.59
100.00,87.41,61.85
100.00,85.04,66.19
100.00,85.95,70.51
99.84,83.21,74.81
100.00,83.94,79.06
100.00,85.40,83.35
100.00,86.59,87.60
100.00,86.59,87.60
