train,validation,time
0.00,0.00,0.00
93.78,87.53,5.62
99.22,91.90,9.15
99.61,94.47,12.65
99.67,94.47,16.04
99.72,94.73,19.53
99.56,95.12,23.05
99.72,95.37,26.53
99.67,95.24,29.87
99.78,95.63,33.30
99.78,96.14,36.76
99.67,94.99,40.20
99.67,95.12,43.48
99.78,95.76,47.07
99.78,96.27,50.47
99.72,96.02,53.80
99.72,96.27,57.30
99.67,96.53,60.60
99.67,96.14,64.08
99.56,96.02,67.35
99.61,96.27,70.65
99.67,95.37,74.05
99.67,95.89,77.46
99.67,96.27,80.88
99.72,95.63,84.27
99.67,96.02,87.60
99.67,96.27,90.95
99.67,96.02,94.41
99.67,96.27,97.86
99.67,96.02,101.17
99.61,96.53,104.63
99.67,96.02,108.12
99.61,95.76,111.46
99.67,96.27,115.03
99.67,95.89,118.34
99.56,95.50,121.70
99.72,95.37,125.13
99.67,96.02,128.46
99.67,96.79,131.71
99.67,96.79,135.07
99.56,96.14,138.44
99.56,94.47,141.72
99.67,95.37,145.28
99.67,95.37,148.69
99.67,95.37,152.13
99.67,96.40,155.49
99.67,96.66,158.81
99.67,95.63,162.10
99.67,95.37,165.45
99.67,97.04,168.88
99.67,95.37,172.18
99.72,95.12,175.55
99.67,94.86,178.90
99.67,96.14,182.32
99.67,94.86,185.54
99.67,95.76,188.98
99.67,95.89,192.25
99.61,94.73,195.60
99.67,96.40,198.96
99.67,94.86,202.24
99.67,96.40,205.51
99.67,95.76,208.89
99.67,95.76,212.35
99.56,95.37,215.66
99.67,95.63,219.16
99.67,96.53,222.56
99.50,94.60,225.94
99.67,95.76,229.45
99.56,94.09,233.03
99.67,95.37,236.47
99.67,95.63,239.94
99.67,95.63,239.94
