train,validation,test,min
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
2.50,0.39,3.57,0.00
5.61,2.70,5.36,0.00
7.49,3.09,4.46,0.00
11.57,5.41,7.14,0.00
17.27,10.81,9.82,0.00
22.57,15.44,16.07,0.00
32.91,27.41,25.00,0.00
43.47,36.68,35.71,0.00
54.34,45.56,44.64,12.50
66.26,56.37,53.57,18.75
73.79,61.00,64.29,43.75
81.07,66.80,69.64,43.75
84.97,71.81,70.54,37.50
87.86,75.68,71.43,50.00
91.02,79.54,75.89,50.00
93.03,81.47,77.68,50.00
94.13,82.63,77.68,50.00
