train,validation,test,min
0.00,0.00,0.00,0.00
14.20,14.29,13.39,0.00
35.14,29.34,31.25,0.00
82.65,69.88,69.64,12.50
96.58,93.44,83.04,56.25
99.08,96.91,89.29,68.75
99.87,98.07,93.75,75.00
99.87,98.46,94.64,81.25
100.00,100.00,96.43,81.25
100.00,99.61,97.32,87.50
100.00,100.00,98.21,93.75
