Total:   304 | Class: 0 | [304,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | File: dataset\cores\teste24bits\1\amarelo.bmp | Time: 1.019462
Total:   304 | Class: 1 | [0,304,0,0,0,0,0,0,0,0] | Acc: 100.00 | File: dataset\cores\teste24bits\2\azul.bmp | Time: 0.429147
Total:   304 | Class: 2 | [0,0,304,0,0,0,0,0,0,0] | Acc: 100.00 | File: dataset\cores\teste24bits\3\branco.bmp | Time: 0.424618
Total:   304 | Class: 3 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | File: dataset\cores\teste24bits\4\cinza.bmp | Time: 0.424631
Total:   304 | Class: 4 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | File: dataset\cores\teste24bits\5\cinza2.bmp | Time: 0.423156
Total:   304 | Class: 5 | [0,0,0,0,0,304,0,0,0,0] | Acc: 100.00 | File: dataset\cores\teste24bits\6\laranja.bmp | Time: 0.429117
Total:   304 | Class: 6 | [0,0,0,0,0,0,304,0,0,0] | Acc: 100.00 | File: dataset\cores\teste24bits\7\preto.bmp | Time: 0.438152
Total:   304 | Class: 7 | [0,0,0,0,304,0,0,0,0,0] | Acc: 0.00 | File: dataset\cores\teste24bits\8\rosa.bmp | Time: 0.446671
Total:   304 | Class: 8 | [0,0,0,0,0,0,0,0,304,0] | Acc: 100.00 | File: dataset\cores\teste24bits\9\verde.bmp | Time: 0.427639
Total:   304 | Class: 9 | [0,0,0,0,0,0,0,0,0,304] | Acc: 100.00 | File: dataset\cores\teste24bits\10\vermelho.bmp | Time: 0.435158
