train,validation,time
0.00,0.00,0.00
99.31,93.85,4.87,best
99.83,93.05,8.19
100.00,93.32,11.44
100.00,93.72,14.71
100.00,92.91,18.01
100.00,92.78,21.26
100.00,93.18,24.41
100.00,92.78,27.67
99.89,91.58,30.99
100.00,96.52,34.32,best
100.00,95.72,37.55
100.00,90.64,40.82
100.00,91.71,44.12
100.00,91.31,47.36
100.00,92.65,50.51
100.00,94.92,53.71
100.00,93.98,56.98
100.00,93.98,60.19
100.00,93.85,63.48
100.00,93.18,66.56
100.00,92.11,69.80
100.00,96.52,69.80
