Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.422
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.408
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.425
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.416
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.390
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.390
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.414
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.397
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.399
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.399
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.367
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.391
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.360
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.377
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.360
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.378
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.373
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.379
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.383
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.383
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.361
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.382
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.375
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.391
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.373
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.409
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.401
