train,validation,test,min
0.00,0.00,0.00,0.00
27.26,28.19,25.00,0.00
72.22,66.02,62.50,0.00
92.02,88.03,84.82,31.25
98.69,94.98,93.75,56.25
99.96,98.84,95.54,68.75
100.00,100.00,96.43,75.00
100.00,99.61,95.54,68.75
100.00,100.00,97.32,81.25
100.00,100.00,98.21,87.50
100.00,100.00,98.21,87.50
