train,validation,test,min
0.00,0.00,0.00,0.00
25.15,27.41,24.11,0.00
68.27,60.23,63.39,0.00
92.29,85.33,83.93,6.25
99.08,94.98,89.29,25.00
99.96,98.84,96.43,75.00
100.00,98.07,94.64,62.50
100.00,99.61,96.43,75.00
100.00,99.23,96.43,75.00
100.00,100.00,98.21,87.50
100.00,100.00,98.21,87.50
