train,validation,test,min
15.00,13.00,0.00,0.00
60.00,60.00,14.29,0.00
80.00,76.00,28.57,0.00
87.00,85.00,35.71,0.00
89.00,86.00,55.36,0.00
91.00,89.00,62.50,0.00
96.00,95.00,66.07,0.00
97.00,97.00,70.54,6.25
99.00,97.00,74.11,12.50
99.00,97.00,80.36,12.50
99.00,98.00,83.04,25.00
100.00,99.00,86.61,50.00
99.00,98.00,87.50,25.00
99.00,99.00,90.18,43.75
99.00,97.00,87.50,25.00
99.00,97.00,90.18,37.50
99.00,98.00,91.96,56.25
100.00,99.00,94.64,75.00
100.00,99.00,94.64,75.00
100.00,100.00,96.43,87.50
