train,validation,test
14.00,14.00,0.00
86.00,86.00,32.14
94.00,93.00,64.29
97.00,95.00,73.21
98.00,97.00,79.46
99.00,98.00,83.93
100.00,99.00,87.50
99.00,97.00,87.50
99.00,98.00,91.96
100.00,99.00,95.54
100.00,98.00,94.64
100.00,100.00,95.54
100.00,98.00,95.54
100.00,99.00,95.54
100.00,100.00,97.32
100.00,99.00,96.43
100.00,100.00,97.32
100.00,99.00,99.11
