Total:    16 | Class: 0 | [5,6,2,0,2,1,0] | Acc: 0.000 | Time: 0.062
Total:    16 | Class: 1 | [8,4,0,0,4,0,0] | Acc: 0.000 | Time: 0.031
Total:    16 | Class: 2 | [7,8,1,0,0,0,0] | Acc: 0.000 | Time: 0.047
Total:    16 | Class: 3 | [6,10,0,0,0,0,0] | Acc: 0.000 | Time: 0.047
Total:    16 | Class: 4 | [7,9,0,0,0,0,0] | Acc: 0.000 | Time: 0.047
Total:    16 | Class: 5 | [4,10,2,0,0,0,0] | Acc: 0.000 | Time: 0.047
Total:    16 | Class: 6 | [7,6,0,1,2,0,0] | Acc: 0.000 | Time: 0.031
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 1 | [0,15,0,0,0,0,1] | Acc: 0.000 | Time: 0.049
Total:    16 | Class: 2 | [0,1,14,0,1,0,0] | Acc: 6.250 | Time: 0.063
Total:    16 | Class: 3 | [0,3,0,13,0,0,0] | Acc: 0.000 | Time: 0.059
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 75.000 | Time: 0.053
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 93.750 | Time: 0.051
Total:    16 | Class: 6 | [0,13,0,0,0,0,3] | Acc: 0.000 | Time: 0.049
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.078
Total:    16 | Class: 1 | [0,14,0,0,0,0,2] | Acc: 12.500 | Time: 0.049
Total:    16 | Class: 2 | [0,0,15,1,0,0,0] | Acc: 87.500 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 87.500 | Time: 0.060
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 93.750 | Time: 0.052
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.044
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 37.500 | Time: 0.047
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.078
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 56.250 | Time: 0.047
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 93.750 | Time: 0.047
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 87.500 | Time: 0.047
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.064
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.050
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 75.000 | Time: 0.048
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.078
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.049
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 93.750 | Time: 0.060
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.053
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.048
Total:    16 | Class: 6 | [0,3,0,0,0,0,13] | Acc: 43.750 | Time: 0.035
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.050
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.050
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.034
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 93.750 | Time: 0.048
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.041
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 6 | [0,1,0,0,0,0,15] | Acc: 87.500 | Time: 0.031
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.050
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 93.750 | Time: 0.047
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.056
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.050
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 75.000 | Time: 0.048
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.056
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.039
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Time: 0.054
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.049
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.048
Total:    16 | Class: 6 | [0,1,0,0,0,0,15] | Acc: 93.750 | Time: 0.048
