train,validation,test,min
11.00,10.00,0.00,0.00
56.00,56.00,0.00,0.00
82.00,85.00,27.68,0.00
90.00,91.00,41.96,0.00
92.00,94.00,55.36,0.00
96.00,97.00,61.61,6.25
97.00,96.00,73.21,12.50
97.00,97.00,78.57,25.00
98.00,98.00,83.04,62.50
98.00,98.00,90.18,56.25
98.00,99.00,88.39,62.50
99.00,100.00,91.07,81.25
99.00,100.00,93.75,81.25
99.00,100.00,93.75,81.25
99.00,100.00,94.64,87.50
99.00,100.00,95.54,87.50
99.00,100.00,92.86,75.00
99.00,100.00,93.75,81.25
99.00,100.00,95.54,87.50
99.00,100.00,96.43,87.50
