Total:    16 | Class: 0 | [0,4,11,0,1,0,0] | Acc: 0.000 | Time: 0.044
Total:    16 | Class: 1 | [0,7,9,0,0,0,0] | Acc: 0.000 | Time: 0.042
Total:    16 | Class: 2 | [0,11,5,0,0,0,0] | Acc: 0.000 | Time: 0.043
Total:    16 | Class: 3 | [0,5,11,0,0,0,0] | Acc: 0.000 | Time: 0.043
Total:    16 | Class: 4 | [0,9,6,0,1,0,0] | Acc: 0.000 | Time: 0.032
Total:    16 | Class: 5 | [0,6,10,0,0,0,0] | Acc: 0.000 | Time: 0.039
Total:    16 | Class: 6 | [0,6,10,0,0,0,0] | Acc: 0.000 | Time: 0.031
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.035
Total:    16 | Class: 1 | [0,0,0,0,0,0,16] | Acc: 0.000 | Time: 0.032
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 68.750 | Time: 0.040
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 68.750 | Time: 0.031
Total:    16 | Class: 4 | [0,0,1,0,15,0,0] | Acc: 81.250 | Time: 0.045
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.042
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 93.750 | Time: 0.043
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 93.750 | Time: 0.047
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.053
Total:    16 | Class: 3 | [0,0,0,15,1,0,0] | Acc: 93.750 | Time: 0.032
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.040
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.041
Total:    16 | Class: 6 | [0,5,0,0,0,0,11] | Acc: 31.250 | Time: 0.041
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 87.500 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 3 | [0,0,0,15,1,0,0] | Acc: 93.750 | Time: 0.047
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 93.750 | Time: 0.042
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.041
Total:    16 | Class: 6 | [0,3,0,0,0,0,13] | Acc: 50.000 | Time: 0.048
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 93.750 | Time: 0.047
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.048
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Time: 0.045
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 93.750 | Time: 0.041
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.046
Total:    16 | Class: 6 | [0,1,0,0,0,0,15] | Acc: 75.000 | Time: 0.043
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 3 | [0,0,0,15,1,0,0] | Acc: 93.750 | Time: 0.049
Total:    16 | Class: 4 | [0,0,1,0,15,0,0] | Acc: 93.750 | Time: 0.044
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.046
Total:    16 | Class: 6 | [0,1,0,0,0,0,15] | Acc: 87.500 | Time: 0.042
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.046
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.032
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 93.750 | Time: 0.031
Total:    16 | Class: 4 | [0,0,1,0,15,0,0] | Acc: 93.750 | Time: 0.047
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.045
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.500 | Time: 0.032
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.029
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 93.750 | Time: 0.037
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 81.250 | Time: 0.047
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Time: 0.053
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 93.750 | Time: 0.039
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.052
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.500 | Time: 0.045
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.032
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Time: 0.047
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.042
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.046
Total:    16 | Class: 6 | [0,1,0,0,0,0,15] | Acc: 87.500 | Time: 0.045
