train,validation,test
17.00,17.00,0.00
70.00,72.00,27.68
91.00,93.00,35.71
96.00,95.00,53.57
99.00,97.00,69.64
100.00,100.00,82.14
100.00,100.00,91.07
100.00,99.00,91.07
100.00,100.00,92.86
100.00,100.00,93.75
100.00,100.00,96.43
100.00,99.00,95.54
100.00,99.00,95.54
100.00,100.00,97.32
100.00,100.00,97.32
100.00,100.00,96.43
100.00,100.00,99.11
