################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | gtsd_4l
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,2.40,0.00,2.69,0.00,2.38,0.00,True
84.00,94.09,72.07,83.89,59.84,71.89,46.59,True
91.42,96.85,78.52,86.32,66.44,74.50,93.24,True
93.80,98.08,78.83,86.28,67.63,74.94,140.48,True
95.15,98.49,79.83,86.40,68.65,75.94,186.12,True
96.89,99.05,81.58,87.42,70.29,76.18,231.78,True
96.96,99.28,81.11,87.06,70.77,77.30,277.01,True
97.56,99.38,82.11,87.89,70.81,76.01,322.43,True
97.86,99.28,83.16,87.36,72.76,77.40,367.64,True
98.40,99.54,83.17,87.49,72.10,76.70,413.52,True
98.58,99.61,83.20,87.49,71.76,76.57,459.26,True
98.59,99.68,82.75,87.32,71.76,76.59,506.47,False
99.09,99.75,83.85,87.72,72.94,77.33,551.22,True
99.06,99.78,83.84,88.09,73.40,77.73,594.28,True
99.16,99.81,84.04,88.17,73.39,77.30,639.39,True
99.23,99.87,84.04,88.24,73.19,77.89,684.78,True
99.40,99.81,84.98,88.52,73.70,77.47,729.76,True
99.48,99.92,84.01,88.00,72.89,77.32,772.90,False
99.44,99.89,85.05,88.74,73.64,77.40,816.40,True
99.40,99.87,85.04,88.59,73.56,77.74,861.70,False
99.42,99.89,84.71,88.24,74.27,77.93,906.39,True
99.56,99.92,85.38,88.78,74.18,77.70,950.41,True
99.64,99.90,85.75,89.05,75.22,78.74,994.95,True
99.64,99.92,84.96,88.25,75.20,78.88,1040.29,True
99.69,99.95,85.92,89.06,75.34,78.72,1084.33,True
99.72,99.93,85.18,88.25,74.27,77.93,1129.18,False
99.61,99.91,85.28,88.74,74.39,77.74,1175.40,False
99.73,99.95,86.07,89.34,75.09,78.49,1220.77,True
99.68,99.91,85.25,88.14,74.78,77.92,1264.62,False
99.74,99.94,85.87,88.66,74.97,77.86,1308.85,False
99.78,99.96,86.40,89.14,75.46,78.51,1354.20,True
99.78,99.95,85.81,88.86,75.44,78.69,1398.14,False
99.74,99.94,85.80,88.60,74.83,77.83,1442.95,False
99.80,99.97,85.98,88.97,75.35,78.54,1486.00,False
99.78,99.96,86.40,89.14,75.46,78.51,1486.00,False
