train,validation,test,min
0.00,0.00,0.00,0.00
99.52,99.61,72.32,0.00
100.00,100.00,78.57,0.00
100.00,100.00,79.46,0.00
100.00,100.00,83.04,0.00
100.00,100.00,84.82,0.00
100.00,100.00,81.25,0.00
100.00,100.00,83.04,0.00
100.00,100.00,80.36,0.00
100.00,100.00,83.93,0.00
100.00,100.00,83.04,0.00
100.00,100.00,81.25,0.00
100.00,100.00,81.25,0.00
100.00,100.00,75.00,0.00
100.00,100.00,83.04,0.00
100.00,100.00,85.71,0.00
100.00,100.00,85.71,0.00
100.00,100.00,84.82,0.00
100.00,100.00,85.71,0.00
100.00,100.00,85.71,0.00
100.00,100.00,85.71,0.00
