train,validation,test,min
0.00,0.00,0.00,0.00
99.74,100.00,57.14,0.00
100.00,100.00,70.54,0.00
100.00,100.00,75.00,0.00
100.00,100.00,81.25,0.00
100.00,100.00,80.36,0.00
100.00,100.00,84.82,0.00
100.00,100.00,75.00,0.00
100.00,100.00,83.93,0.00
100.00,100.00,77.68,0.00
100.00,100.00,81.25,0.00
100.00,100.00,81.25,0.00
100.00,100.00,75.00,0.00
100.00,100.00,75.89,0.00
100.00,100.00,81.25,0.00
100.00,100.00,78.57,0.00
100.00,100.00,83.04,0.00
100.00,100.00,83.04,0.00
100.00,100.00,83.93,12.50
100.00,100.00,83.04,0.00
100.00,100.00,83.93,0.00
