train,validation,time
0.00,0.00,0.00
17.62,1.14,7.35
56.05,14.99,13.64
70.16,17.28,20.00
74.63,24.36,26.58
81.07,24.44,33.04
88.65,25.03,39.49
91.67,26.84,45.92
94.79,27.31,52.48
95.88,27.19,58.66
98.16,27.55,64.92
96.76,27.27,71.15
98.69,27.55,77.54
99.21,27.04,84.33
99.69,27.94,90.74
99.82,27.98,97.35
99.91,27.74,103.97
99.96,27.82,110.31
99.96,27.39,116.96
100.00,28.45,123.46
100.00,28.93,129.61
99.96,29.12,136.01
100.00,29.00,142.33
100.00,27.71,148.82
100.00,27.31,155.37
100.00,28.30,161.74
100.00,27.19,168.14
100.00,30.42,174.27
100.00,31.17,180.83
100.00,27.27,187.34
100.00,28.26,193.81
99.87,26.29,200.40
100.00,29.56,206.78
100.00,27.47,213.26
100.00,27.39,219.81
100.00,30.34,226.36
100.00,28.53,233.05
100.00,30.78,239.39
100.00,30.15,245.68
100.00,33.02,251.90
100.00,31.96,258.29
100.00,32.74,264.54
100.00,31.40,271.04
100.00,28.57,277.22
100.00,30.26,283.51
100.00,29.87,289.85
100.00,33.65,296.41
100.00,32.94,302.71
100.00,31.64,309.15
100.00,32.59,315.71
100.00,31.44,322.18
100.00,29.79,328.59
100.00,30.42,335.22
100.00,29.44,341.51
100.00,33.22,348.13
100.00,28.57,354.36
100.00,29.36,360.82
100.00,30.97,367.43
100.00,30.97,367.43
