train,validation,time
0.00,0.00,0.00
22.26,15.55,7.56
67.53,42.03,14.00
88.56,61.31,20.37
98.90,73.04,26.65
99.65,75.36,33.33
99.91,74.85,39.98
100.00,76.62,46.69
100.00,74.70,53.12
100.00,75.40,59.51
100.00,75.88,65.90
100.00,76.07,72.46
100.00,77.33,78.80
100.00,75.01,85.46
100.00,76.43,92.07
100.00,76.70,98.45
100.00,75.80,105.03
100.00,74.66,111.77
100.00,74.85,118.10
100.00,72.92,124.56
100.00,75.91,131.09
100.00,73.99,137.50
100.00,80.28,144.06
100.00,76.31,150.60
100.00,74.89,157.33
100.00,72.53,163.85
100.00,74.93,170.46
100.00,77.06,177.14
100.00,75.60,183.93
100.00,75.80,190.69
100.00,74.07,197.24
100.00,74.97,203.80
100.00,77.33,210.46
100.00,77.33,216.97
100.00,77.33,216.97
