train,validation,test,min
0.00,0.00,0.00,0.00
99.39,94.59,52.68,0.00
100.00,99.23,56.25,0.00
100.00,98.84,58.04,0.00
100.00,100.00,59.82,0.00
99.96,99.61,68.75,0.00
100.00,100.00,64.29,0.00
100.00,100.00,65.18,0.00
100.00,100.00,63.39,0.00
100.00,99.61,66.96,0.00
100.00,100.00,66.96,0.00
100.00,99.61,69.64,0.00
100.00,100.00,76.79,0.00
100.00,100.00,72.32,0.00
100.00,100.00,67.86,0.00
100.00,100.00,75.89,0.00
100.00,100.00,62.50,0.00
100.00,99.61,69.64,0.00
99.87,96.91,58.04,0.00
100.00,100.00,72.32,0.00
100.00,100.00,75.00,0.00
