train,validation,test,min
0.00,0.00,0.00,0.00
93.08,88.42,57.14,0.00
100.00,99.61,65.18,0.00
100.00,100.00,66.07,0.00
100.00,100.00,69.64,0.00
100.00,100.00,66.07,0.00
100.00,100.00,70.54,0.00
100.00,100.00,70.54,0.00
100.00,100.00,70.54,0.00
100.00,100.00,70.54,0.00
100.00,100.00,69.64,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,72.32,0.00
100.00,100.00,72.32,0.00
100.00,100.00,73.21,6.25
