train,validation,test,min
0.00,0.00,0.00,0.00
98.38,89.58,55.36,0.00
100.00,100.00,62.50,0.00
100.00,99.61,61.61,0.00
100.00,100.00,71.43,0.00
100.00,100.00,74.11,0.00
100.00,100.00,73.21,0.00
100.00,100.00,74.11,0.00
100.00,100.00,75.89,0.00
100.00,100.00,72.32,0.00
100.00,100.00,77.68,0.00
100.00,99.61,77.68,0.00
100.00,99.61,76.79,0.00
100.00,100.00,76.79,0.00
100.00,100.00,77.68,0.00
100.00,100.00,77.68,0.00
100.00,100.00,76.79,0.00
100.00,100.00,75.00,0.00
100.00,100.00,74.11,0.00
100.00,100.00,72.32,0.00
100.00,100.00,76.79,0.00
