train,validation,test,min
0.00,0.00,0.00,0.00
85.36,81.08,44.64,0.00
99.96,97.68,54.46,0.00
100.00,100.00,61.61,0.00
100.00,100.00,65.18,0.00
100.00,100.00,64.29,0.00
100.00,100.00,59.82,0.00
100.00,100.00,67.86,0.00
100.00,100.00,70.54,0.00
100.00,100.00,68.75,0.00
100.00,99.61,71.43,0.00
100.00,100.00,66.96,0.00
100.00,100.00,66.07,0.00
100.00,100.00,72.32,0.00
100.00,100.00,71.43,0.00
100.00,100.00,69.64,0.00
100.00,100.00,67.86,0.00
100.00,99.61,68.75,0.00
100.00,99.61,68.75,0.00
100.00,100.00,67.86,0.00
100.00,99.61,66.96,0.00
