train,validation,time
0.00,0.00,0.00
23.49,6.61,7.55
52.98,27.74,14.18
83.09,42.07,20.69
97.11,51.12,27.42
99.47,54.94,34.17
99.78,61.24,40.93
100.00,63.05,47.52
100.00,66.71,54.12
100.00,67.41,60.74
100.00,67.61,67.24
100.00,67.26,73.85
100.00,69.58,80.24
100.00,71.15,87.08
100.00,70.76,93.44
100.00,70.76,100.07
100.00,70.88,106.71
100.00,71.39,113.55
100.00,69.54,119.93
100.00,70.76,126.58
100.00,71.31,133.19
100.00,71.43,139.91
100.00,71.43,146.76
100.00,71.39,153.35
100.00,71.39,159.78
100.00,71.39,166.24
100.00,71.35,172.98
100.00,71.35,179.62
100.00,71.43,186.12
100.00,71.43,192.66
100.00,71.43,199.61
100.00,71.31,206.33
100.00,71.35,212.85
100.00,71.35,212.85
