train,validation,time
0.00,0.00,0.00
18.49,14.29,7.44
42.86,17.00,14.02
59.20,24.99,20.71
79.54,33.02,27.27
86.63,40.14,33.92
92.94,40.26,40.33
96.58,40.73,46.89
96.14,41.05,54.01
97.46,41.20,60.58
99.34,40.81,67.14
99.65,41.64,73.73
100.00,40.69,80.57
99.91,41.13,87.15
100.00,41.16,93.51
100.00,42.07,100.11
100.00,43.21,106.77
100.00,42.23,113.51
100.00,42.38,120.23
100.00,43.49,127.07
100.00,43.37,133.64
100.00,43.76,140.47
100.00,41.87,147.38
100.00,43.76,154.05
100.00,43.68,160.46
100.00,45.42,167.15
100.00,47.11,173.82
100.00,44.23,180.33
100.00,48.25,186.98
100.00,47.46,193.33
100.00,47.34,199.57
100.00,46.83,206.52
100.00,48.56,212.97
100.00,48.64,219.61
100.00,48.76,226.20
100.00,48.29,232.65
100.00,49.43,239.28
100.00,50.73,245.93
100.00,49.63,252.24
100.00,54.03,258.78
100.00,52.30,265.57
100.00,47.30,272.38
100.00,49.15,278.94
100.00,52.93,285.54
100.00,52.74,292.03
100.00,51.44,298.39
100.00,46.64,305.01
100.00,46.99,311.62
100.00,49.74,318.16
100.00,49.47,324.76
100.00,51.08,331.36
100.00,51.08,331.36
