train,validation,time
0.00,0.00,0.00
26.95,13.89,7.40
54.12,23.49,13.92
85.54,40.61,20.61
95.53,50.81,26.85
99.39,51.63,33.40
99.74,51.99,39.69
99.91,52.93,46.21
100.00,54.47,52.47
100.00,54.19,58.68
100.00,53.52,65.12
100.00,55.29,71.68
100.00,53.84,78.26
100.00,60.68,84.55
100.00,56.00,90.98
100.00,56.95,97.66
100.00,57.73,103.98
100.00,56.91,110.61
100.00,59.03,117.10
100.00,62.02,123.54
100.00,56.43,130.05
100.00,55.25,136.34
100.00,59.58,142.96
100.00,59.62,149.57
100.00,58.80,155.84
100.00,58.84,162.33
100.00,55.33,168.69
100.00,59.31,175.25
100.00,60.21,181.69
100.00,57.54,188.35
100.00,59.66,194.81
100.00,59.66,194.81
