train,validation,time
0.00,0.00,0.00
22.87,21.92,7.65
59.90,46.20,14.13
87.38,67.69,20.57
97.41,78.98,27.22
99.78,82.68,33.96
100.00,82.53,40.35
100.00,83.75,46.91
100.00,83.35,53.45
100.00,84.30,60.14
100.00,84.81,66.89
100.00,84.89,73.31
100.00,84.26,79.83
100.00,85.60,86.51
100.00,85.05,92.74
100.00,84.53,99.65
100.00,84.81,106.57
100.00,85.40,112.94
100.00,85.44,119.15
100.00,85.08,125.31
100.00,85.01,131.48
100.00,85.48,137.97
100.00,84.97,144.28
100.00,85.08,150.60
100.00,85.71,157.14
100.00,85.48,163.71
100.00,85.40,169.89
100.00,85.48,176.60
100.00,85.56,183.09
100.00,85.48,189.84
100.00,84.77,195.94
100.00,85.67,202.64
100.00,85.52,209.17
100.00,85.64,215.74
100.00,84.85,222.31
100.00,85.52,228.97
100.00,85.52,228.97
