train,validation,time
0.00,0.00,0.00
26.64,14.60,7.51
72.35,46.16,14.07
90.84,54.35,20.80
97.15,55.88,27.23
98.86,56.79,33.82
99.21,56.67,40.36
99.82,56.75,46.87
100.00,57.10,53.21
100.00,56.87,59.52
100.00,57.18,66.07
100.00,56.67,72.78
100.00,57.10,79.64
100.00,56.91,86.06
100.00,57.06,92.29
100.00,57.02,98.98
100.00,57.02,105.58
100.00,57.14,112.35
100.00,57.06,118.99
100.00,57.77,125.56
100.00,56.99,132.18
100.00,57.18,138.97
100.00,57.10,145.65
100.00,57.14,152.22
100.00,57.02,158.95
100.00,57.14,165.56
100.00,57.10,172.06
100.00,56.32,179.04
100.00,57.02,185.58
100.00,56.83,192.24
100.00,57.06,199.13
100.00,57.06,199.13
