train,validation,test,min
0.00,0.00,0.00,0.00
100.00,100.00,72.32,0.00
100.00,99.61,64.29,0.00
100.00,100.00,72.32,0.00
99.96,100.00,74.11,0.00
100.00,100.00,74.11,0.00
100.00,100.00,73.21,6.25
100.00,100.00,76.79,0.00
100.00,100.00,73.21,0.00
100.00,100.00,73.21,0.00
100.00,100.00,83.04,0.00
100.00,100.00,79.46,0.00
100.00,100.00,86.61,6.25
100.00,100.00,86.61,6.25
100.00,100.00,83.04,6.25
100.00,100.00,85.71,0.00
100.00,100.00,83.93,0.00
100.00,100.00,85.71,0.00
100.00,100.00,85.71,0.00
100.00,100.00,86.61,6.25
100.00,100.00,85.71,0.00
