train,validation,time
0.00,0.00,0.00
28.70,14.76,7.56
79.67,30.89,13.95
98.95,49.04,20.59
99.91,57.14,27.22
100.00,57.69,33.77
100.00,56.04,40.31
100.00,56.00,46.97
100.00,57.02,53.46
100.00,58.36,60.08
100.00,58.05,66.59
100.00,58.13,73.05
100.00,56.04,79.66
100.00,58.60,86.35
100.00,57.77,93.01
100.00,55.65,99.62
100.00,54.98,106.10
100.00,56.99,112.64
100.00,56.51,119.17
100.00,59.98,125.88
100.00,56.24,132.36
100.00,61.16,138.85
100.00,59.78,145.12
100.00,59.82,151.46
100.00,58.32,158.25
100.00,57.06,165.10
100.00,60.06,171.65
100.00,58.72,178.41
100.00,59.58,185.21
100.00,57.62,191.66
100.00,62.50,198.12
100.00,57.10,204.60
100.00,58.60,211.18
100.00,56.75,217.85
100.00,57.46,224.43
100.00,57.26,230.96
100.00,57.30,237.70
100.00,56.51,244.45
100.00,55.45,251.19
100.00,61.39,257.79
100.00,56.99,264.28
100.00,55.25,270.85
100.00,55.25,270.85
