train,validation,test,min
0.00,0.00,0.00,0.00
65.64,61.78,45.54,0.00
99.82,98.84,69.64,0.00
99.91,98.46,67.86,0.00
100.00,100.00,70.54,0.00
100.00,99.61,70.54,0.00
100.00,100.00,70.54,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
