train,validation,time
0.00,0.00,0.00
14.42,0.00,7.74
41.19,1.14,14.30
54.56,13.42,20.90
68.45,29.48,27.32
74.32,39.98,33.66
78.22,38.61,40.49
82.16,38.25,47.27
87.29,36.32,53.98
91.06,36.01,60.49
93.12,36.64,67.24
95.66,34.12,73.83
96.23,30.07,80.42
96.80,38.61,86.91
98.86,36.40,93.33
95.35,40.73,99.94
99.04,33.25,106.61
99.61,42.90,113.38
99.74,40.85,119.94
99.87,42.03,126.40
99.87,39.16,133.02
100.00,42.38,139.64
100.00,42.78,146.14
100.00,43.96,153.08
99.78,42.98,159.52
100.00,44.94,166.20
99.96,43.41,172.86
100.00,43.76,179.43
100.00,43.33,186.12
100.00,43.29,192.63
100.00,44.00,199.15
100.00,42.98,205.76
100.00,42.74,212.34
100.00,42.78,218.99
100.00,42.70,225.65
100.00,42.42,232.01
100.00,42.58,238.52
100.00,42.58,238.52
