train,validation,test,min
0.00,0.00,0.00,0.00
92.46,86.49,53.57,0.00
99.74,94.98,57.14,0.00
100.00,98.84,56.25,0.00
100.00,97.68,56.25,0.00
100.00,99.23,54.46,0.00
100.00,98.84,61.61,0.00
100.00,98.46,62.50,0.00
100.00,97.68,62.50,0.00
100.00,100.00,62.50,0.00
100.00,100.00,65.18,0.00
100.00,100.00,74.11,0.00
100.00,99.23,70.54,0.00
100.00,99.61,71.43,0.00
100.00,99.61,60.71,0.00
100.00,99.61,64.29,0.00
100.00,98.46,66.07,0.00
100.00,100.00,65.18,0.00
100.00,100.00,63.39,0.00
100.00,100.00,73.21,0.00
100.00,99.61,66.96,0.00
