train,validation,test,min
0.00,0.00,0.00,0.00
97.90,93.05,57.14,0.00
100.00,99.61,63.39,0.00
100.00,99.61,62.50,0.00
100.00,99.61,66.96,0.00
100.00,100.00,67.86,0.00
100.00,100.00,73.21,0.00
100.00,98.84,65.18,0.00
100.00,100.00,75.89,0.00
100.00,100.00,75.00,0.00
100.00,99.23,70.54,0.00
100.00,100.00,73.21,0.00
100.00,99.61,69.64,0.00
100.00,100.00,72.32,0.00
100.00,100.00,72.32,0.00
100.00,99.61,72.32,0.00
100.00,99.61,66.96,0.00
100.00,100.00,73.21,0.00
100.00,100.00,74.11,0.00
100.00,99.61,69.64,0.00
100.00,100.00,75.00,0.00
