train,validation,test,min
0.00,0.00,0.00,0.00
85.93,81.08,55.36,0.00
100.00,99.23,66.07,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
