train,validation,test,min
0.00,0.00,0.00,0.00
94.52,88.42,44.64,0.00
99.96,97.68,43.75,0.00
100.00,99.23,49.11,0.00
100.00,99.61,45.54,0.00
100.00,99.61,56.25,0.00
100.00,99.61,58.04,0.00
100.00,100.00,57.14,0.00
100.00,98.84,55.36,0.00
100.00,99.61,64.29,0.00
100.00,99.61,58.04,0.00
100.00,99.61,60.71,0.00
100.00,100.00,60.71,0.00
100.00,99.61,62.50,0.00
100.00,99.23,61.61,0.00
100.00,99.61,64.29,0.00
100.00,99.23,65.18,0.00
100.00,97.68,56.25,0.00
100.00,100.00,66.96,0.00
100.00,99.61,63.39,0.00
100.00,100.00,66.96,0.00
