train,validation,test,min
0.00,0.00,0.00,0.00
83.92,83.01,68.75,0.00
99.69,100.00,70.54,0.00
100.00,99.23,68.75,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,69.64,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
