train,validation,test,min
0.00,0.00,0.00,0.00
97.06,94.21,58.04,0.00
100.00,100.00,68.75,0.00
100.00,100.00,67.86,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,99.61,63.39,0.00
100.00,100.00,62.50,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
100.00,100.00,71.43,0.00
