c0,c1,c2,c3,c4,c5,c6
100.0,100.0,93.38,100.0,100.0,100.0,100.0
100.0,100.0,93.26,100.0,100.0,100.0,100.0
100.0,99.91,96.03,100.0,99.78,100.0,100.0
100.0,100.0,90.52,98.89,100.0,100.0,100.0
100.0,99.38,92.8,100.0,100.0,100.0,100.0
100.0,100.0,75.75,100.0,100.0,100.0,100.0
100.0,100.0,88.15,100.0,100.0,100.0,100.0
100.0,100.0,97.66,99.94,100.0,100.0,99.85
100.0,100.0,80.89,100.0,100.0,100.0,99.97
100.0,100.0,87.41,100.0,99.82,97.75,99.91
