train,validation,test,min
0.00,0.00,0.00,0.00
48.42,44.40,48.21,0.00
83.61,74.52,76.79,0.00
98.60,91.12,86.61,12.50
99.87,97.30,91.07,43.75
100.00,98.84,91.96,43.75
100.00,100.00,93.75,62.50
100.00,99.23,95.54,75.00
100.00,100.00,95.54,68.75
100.00,100.00,97.32,87.50
100.00,100.00,98.21,87.50
