Total:    16 | Class: 0 | [0,0,4,0,12,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 1 | [1,1,6,0,7,0,1] | Acc: 6.25 | Acc2: 0.00 | Time: 0.026
Total:    16 | Class: 2 | [0,1,3,0,11,0,1] | Acc: 18.75 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 3 | [0,2,3,0,10,0,1] | Acc: 0.00 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 4 | [0,2,1,0,10,0,3] | Acc: 62.50 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 5 | [0,4,1,0,10,0,1] | Acc: 0.00 | Acc2: 0.00 | Time: 0.040
Total:    16 | Class: 6 | [0,1,4,0,10,1,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.016
Total:    16 | Class: 1 | [0,14,0,0,0,0,2] | Acc: 87.50 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 2 | [0,0,12,3,1,0,0] | Acc: 75.00 | Acc2: 0.00 | Time: 0.020
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 4 | [0,0,1,0,15,0,0] | Acc: 93.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 81.25 | Time: 0.031
Total:    16 | Class: 6 | [0,13,0,0,0,0,3] | Acc: 18.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,15,0,0,0,0,1] | Acc: 93.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 81.25 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 87.50 | Time: 0.042
