train,validation,test,min
0.00,0.00,0.00,0.00
20.82,24.71,20.54,0.00
59.68,57.92,58.04,0.00
71.12,70.66,67.86,0.00
82.34,76.45,75.89,6.25
95.97,90.35,83.93,31.25
99.69,98.84,91.07,37.50
100.00,99.61,95.54,68.75
100.00,100.00,95.54,68.75
100.00,100.00,97.32,81.25
100.00,99.61,95.54,68.75
100.00,100.00,98.21,87.50
