train,validation,test,min
0.00,0.00,0.00,0.00
0.44,0.39,0.00,0.00
14.29,14.29,14.29,0.00
19.06,21.62,19.64,0.00
27.34,27.80,23.21,0.00
47.15,37.84,37.50,0.00
64.90,56.76,59.82,6.25
85.10,74.52,75.00,12.50
93.34,83.40,83.04,18.75
97.41,91.89,86.61,31.25
98.86,94.21,86.61,31.25
99.56,97.68,91.07,62.50
99.74,98.84,92.86,75.00
99.91,99.61,93.75,81.25
99.91,99.61,94.64,81.25
99.91,99.23,93.75,62.50
99.96,99.61,92.86,75.00
100.00,99.61,95.54,81.25
100.00,99.61,94.64,81.25
100.00,99.61,95.54,87.50
100.00,99.61,95.54,87.50
