train,validation,test,min
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
14.29,14.29,14.29,0.00
21.65,24.71,20.54,0.00
27.56,28.57,25.00,0.00
47.28,40.15,41.07,0.00
60.25,57.14,50.89,0.00
65.86,63.32,59.82,0.00
69.24,66.02,63.39,0.00
73.58,69.11,66.07,0.00
78.22,72.59,70.54,6.25
86.33,78.38,76.79,18.75
90.32,82.63,84.82,43.75
96.63,89.58,90.18,56.25
98.25,94.98,90.18,56.25
99.08,97.68,90.18,56.25
99.43,97.30,92.86,56.25
99.82,98.84,93.75,62.50
99.91,99.23,92.86,56.25
99.96,100.00,93.75,62.50
99.91,99.23,95.54,81.25
