train,validation,test,min
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
14.15,14.29,12.50,0.00
17.22,14.29,16.96,0.00
43.51,39.77,42.86,0.00
67.66,65.64,59.82,0.00
81.95,77.22,66.96,12.50
90.62,84.56,76.79,18.75
96.01,91.89,83.04,43.75
97.85,93.05,84.82,37.50
98.86,95.37,87.50,43.75
99.43,96.14,89.29,62.50
99.65,96.53,90.18,56.25
99.69,97.30,90.18,62.50
99.87,98.84,93.75,68.75
99.96,97.68,91.07,62.50
99.91,99.23,92.86,68.75
99.91,98.07,92.86,62.50
99.96,98.84,91.96,68.75
100.00,99.23,94.64,81.25
100.00,99.61,96.43,87.50
