c0,c1,c2,c3,c4,c5,c6
100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,99.96,100.0,100.0,100.0,100.0
100.0,100.0,90.09,100.0,100.0,100.0,100.0
100.0,100.0,98.63,100.0,100.0,100.0,100.0
100.0,100.0,81.97,99.83,100.0,100.0,100.0
100.0,100.0,97.0,99.04,100.0,100.0,100.0
100.0,100.0,96.5,100.0,100.0,100.0,100.0
100.0,100.0,98.13,99.67,100.0,100.0,100.0
100.0,100.0,97.04,99.58,100.0,100.0,100.0
