################ TRAINING REPORT #################
# Images path   | ./dataset/fabric/side64/training/
# Validation    | 0.30
# Images shape  | (64,64,3)
# Architecure   | gtsd_3l
# Batch size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,13.91,0.00,14.00,0.00,13.42,0.00,True
11.63,71.99,7.79,66.23,6.06,62.77,7.23,True
43.60,86.70,34.63,78.50,28.57,77.49,12.80,True
66.98,94.00,48.63,80.23,46.32,85.28,18.38,True
90.41,98.21,73.02,86.44,72.29,88.74,23.94,True
96.66,99.75,74.89,89.03,74.46,88.74,29.48,True
98.58,99.69,81.67,89.75,80.95,88.74,35.06,True
99.57,99.94,84.70,91.20,81.82,90.91,40.73,True
100.00,100.00,84.27,91.77,84.85,93.07,46.92,True
99.94,100.00,85.28,92.50,85.28,91.77,52.59,True
100.00,100.00,84.99,91.05,86.15,90.48,58.48,False
99.88,100.00,85.28,89.90,83.12,90.04,64.39,False
100.00,100.00,86.29,91.92,87.88,93.07,70.15,True
100.00,100.00,87.16,91.92,86.58,92.21,75.87,True
100.00,100.00,83.84,89.32,83.98,91.77,81.65,False
99.88,100.00,87.30,91.92,87.45,93.51,87.38,True
100.00,100.00,88.46,93.07,87.45,93.94,93.14,True
100.00,100.00,88.60,93.36,85.28,93.51,98.81,True
100.00,100.00,88.31,93.22,88.31,94.37,104.60,True
100.00,100.00,85.86,91.92,85.71,91.77,110.10,False
100.00,100.00,87.30,92.93,88.31,94.37,115.99,False
100.00,100.00,87.30,93.36,88.31,93.51,121.94,False
100.00,100.00,86.72,92.64,89.18,93.94,127.67,False
100.00,100.00,86.44,92.78,88.31,92.64,133.41,False
100.00,100.00,88.31,92.50,88.31,93.51,139.31,False
100.00,100.00,85.71,91.05,83.55,91.77,145.15,False
100.00,100.00,88.02,93.22,87.88,93.07,150.69,False
100.00,100.00,88.60,93.65,88.74,94.37,156.44,False
100.00,100.00,89.03,93.36,87.45,93.51,162.26,True
100.00,100.00,88.89,93.94,88.31,93.94,168.03,False
100.00,100.00,87.45,92.93,87.45,93.07,174.02,False
100.00,100.00,87.88,93.80,87.45,92.64,179.87,False
100.00,100.00,86.15,92.35,85.71,92.21,185.71,False
100.00,100.00,86.58,92.78,85.71,93.07,191.21,False
100.00,100.00,86.15,91.77,86.15,92.21,196.63,False
99.94,100.00,88.46,93.94,84.85,92.21,202.31,False
100.00,100.00,87.73,93.36,89.18,94.81,207.91,True
100.00,100.00,88.02,93.80,87.45,94.37,213.47,False
100.00,100.00,90.04,94.52,87.45,94.37,218.99,True
100.00,100.00,89.18,93.65,89.18,92.21,224.43,False
100.00,100.00,89.03,94.08,89.18,94.37,229.98,False
100.00,100.00,88.89,93.65,87.01,92.21,235.46,False
100.00,100.00,87.59,91.63,87.88,91.34,240.93,False
100.00,100.00,89.32,93.80,90.04,94.81,246.70,False
100.00,100.00,89.75,93.22,89.61,95.67,252.32,True
100.00,100.00,89.18,93.80,87.88,93.07,257.76,False
100.00,100.00,89.61,94.37,88.31,94.37,263.33,False
100.00,100.00,88.17,94.37,87.88,93.07,268.83,False
100.00,100.00,88.46,94.81,86.15,93.07,274.34,False
100.00,100.00,88.60,93.80,88.31,92.21,279.81,False
100.00,100.00,87.59,92.78,87.01,93.94,285.30,False
100.00,100.00,88.31,93.94,87.88,93.94,290.86,False
100.00,100.00,88.74,93.80,87.01,93.94,296.29,False
100.00,100.00,87.45,93.22,86.15,91.34,301.75,False
100.00,100.00,86.87,92.21,84.85,91.34,307.19,False
100.00,100.00,87.59,93.80,87.01,93.51,312.69,False
100.00,100.00,89.32,94.81,89.18,95.24,318.12,False
100.00,100.00,89.03,94.52,87.45,93.94,323.65,False
100.00,100.00,87.73,92.93,85.71,92.21,329.11,False
100.00,100.00,88.17,93.80,86.15,91.77,334.62,False
100.00,100.00,89.32,93.36,86.58,93.51,340.12,False
100.00,100.00,90.19,94.23,88.31,93.07,345.60,True
100.00,100.00,89.32,93.07,88.31,92.21,351.12,False
100.00,100.00,88.02,92.78,87.45,93.07,356.60,False
100.00,100.00,88.31,92.64,86.58,91.77,362.06,False
100.00,100.00,90.19,94.23,87.45,91.34,367.53,False
100.00,100.00,88.60,93.94,87.01,91.34,372.97,False
100.00,100.00,88.74,94.66,86.15,91.34,378.44,False
100.00,100.00,88.46,93.22,85.28,91.77,383.94,False
100.00,100.00,88.46,93.94,87.01,92.64,389.43,False
100.00,100.00,88.60,94.08,87.45,93.51,394.88,False
100.00,100.00,89.47,93.51,87.45,93.07,400.33,False
100.00,100.00,89.47,94.37,87.45,93.07,405.82,False
100.00,100.00,89.03,93.94,86.15,93.94,411.31,False
100.00,100.00,89.47,94.52,87.01,94.81,416.88,False
100.00,100.00,89.03,94.08,88.31,93.51,422.39,False
100.00,100.00,90.04,94.52,86.58,93.51,427.86,False
100.00,100.00,90.04,94.23,87.01,93.51,433.29,False
100.00,100.00,89.18,94.37,87.45,92.21,438.87,False
100.00,100.00,89.75,94.81,86.58,91.77,444.36,False
100.00,100.00,89.47,93.65,86.15,93.07,449.86,False
100.00,100.00,88.74,94.23,87.01,91.77,455.29,False
100.00,100.00,89.03,94.23,87.88,93.07,460.82,False
100.00,100.00,90.19,94.23,88.31,93.07,460.82,False
