train,validation,time
0.00,0.00,0.00
0.00,0.00,6.08
23.68,23.85,10.75
34.81,35.12,15.49
40.61,40.63,20.19
48.82,44.69,25.13
59.06,52.29,30.05
64.85,58.19,35.13
68.56,61.07,40.25
73.34,68.15,45.19
74.30,68.02,50.24
78.12,74.31,55.27
78.07,73.92,60.11
80.93,77.59,65.03
86.22,82.44,70.14
91.39,87.81,74.98
90.38,85.71,79.71
94.09,90.69,84.52
96.40,92.79,89.44
97.58,93.45,94.33
98.54,95.02,99.29
99.27,95.67,104.14
99.61,96.99,109.01
99.38,96.33,114.03
99.83,98.03,119.04
99.83,98.03,119.04
