c0,c1,c2,c3,c4,c5,c6
1.0,0.72,0.62,0.9,0.96,1.0,0.8
1.0,0.81,1.0,0.71,1.0,0.93,0.71
1.0,0.95,0.96,1.0,1.0,1.0,0.68
1.0,1.0,0.9,1.0,0.99,1.0,0.95
1.0,0.99,0.98,1.0,1.0,1.0,0.99
1.0,1.0,0.99,0.97,1.0,1.0,1.0
1.0,1.0,0.99,1.0,1.0,1.0,1.0
1.0,1.0,0.98,1.0,1.0,1.0,0.99
1.0,1.0,0.98,1.0,1.0,1.0,1.0
1.0,1.0,0.99,1.0,1.0,1.0,1.0
